Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,BrowserUserAgent,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
11,female,American,Ms.,Carol,J,Peterson,"2265 Fleming Street",Montgomery,AL,Alabama,36117,US,"United States",CarolJPeterson@gustr.com,Coultle,koh4Veel,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0",334-424-7387,1,Schrantz,5/29/1954,66,Gemini,MasterCard,5405114829990174,938,12/2024,418-19-6247,"1Z 722 F74 81 1277 763 4",0110161192,17175267,Blue,"Home care aide","Bonanza Produce Stores","2015 Lexus RX 350",billonotes.com,B+,163.7,74.4,"5' 1""",155,e17f332f-32b2-4258-adb3-ce96b831baf8,32.34541,-86.197451
12,male,American,Mr.,Willie,T,Warlick,"3219 Barfield Lane",Carmel,IN,Indiana,46032,US,"United States",WillieTWarlick@superrito.com,Forcis1961,Cheetah5ohg,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:66.0) Gecko/20100101 Firefox/66.0",317-587-1250,1,Evans,2/7/1961,59,Aquarius,Visa,4532181193016075,932,7/2023,310-25-4877,"1Z V12 867 44 1181 895 2",4703393170,07789035,Blue,"Human resources administrative assistant","Irving's Sporting Goods","2010 Buick Enclave",tourseast.com,A-,167.6,76.2,"5' 6""",168,8acedee3-06ce-46bf-a4f0-92500f159f00,39.909456,-86.203908
13,female,American,Ms.,Mary,R,Bartlett,"308 Rebecca Street",Schaumburg,IL,Illinois,60173,US,"United States",MaryRBartlett@dayrep.com,Usts1960,Vair4ziay,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",847-762-5335,1,Maas,8/13/1960,60,Leo,Visa,4916071431848783,016,5/2022,358-28-7587,"1Z 477 630 34 9002 075 5",9588999545,52538727,Red,Courier,"Superior Appraisals","2006 Morgan Aero",EgoFlow.com,AB+,157.5,71.6,"5' 5""",165,48a72528-91aa-4c66-acb2-9c837c4b9697,41.967283,-88.020836
14,female,American,Mrs.,Etta,E,Little,"3519 Colonial Drive",Bryan,TX,Texas,77803,US,"United States",EttaELittle@armyspy.com,Havocapiente94,eiW3ohG6Ai,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",979-776-8926,1,Wheeler,6/6/1994,26,Gemini,Visa,4539782089631597,839,9/2021,642-70-8556,"1Z 3V8 568 25 8729 740 9",6921473544,92799699,Black,"Telephone repairer","Belle Lady","2001 Smart Roadster",raloem.com,O+,161.7,73.5,"5' 9""",175,96d41389-c5b9-4731-8117-d88a9b6ee7e5,30.665327,-96.440555
15,female,American,Ms.,Mary,M,Vann,"2192 Turkey Pen Road",Huntington,NY,"New York",11743,US,"United States",MaryMVann@cuvox.de,Andeep,aeph7eiHae,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36",917-226-9078,1,Parry,11/7/1942,77,Scorpio,Visa,4916695075664278,104,5/2021,086-12-8245,"1Z 1V6 6W1 52 9930 316 2",8037500242,85096638,Brown,"Captive agent","Strong Life","2001 Mercedes-Benz A",ryanmpott.com,B+,121.2,55.1,"5' 3""",160,8f5080db-7439-410a-b046-864088ae0866,40.889436,-73.509599
16,female,American,Ms.,Grace,J,Stephenson,"2441 Lunetta Street",Denton,TX,Texas,76201,US,"United States",GraceJStephenson@einrot.com,Niff1960,Baew4Ohm6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",940-891-2075,1,Love,7/27/1960,60,Leo,MasterCard,5297762166326930,192,3/2021,454-03-1610,"1Z 750 707 28 5246 058 1",8154534988,97905760,Purple,Publicist,"William Wanamaker & Sons","2001 Dodge Stratus",selmycar.com,B+,125.2,56.9,"5' 0""",152,88493cf0-b4f5-4cae-8543-a12bf66b4517,33.262502,-97.089986
17,male,American,Mr.,Xavier,S,Dunn,"2280 Raver Croft Drive",Whitwell,TN,Tennessee,37397,US,"United States",XavierSDunn@armyspy.com,Priong,ool0shah0Oo,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",423-658-0294,1,Miller,3/31/1958,62,Aries,MasterCard,5248009249138449,025,11/2025,415-41-4993,"1Z 914 W63 03 0779 178 9",5468012598,02755313,Blue,"Motor coach driver","The Warner Brothers Store","1997 Oldsmobile Cutlass",costumava.com,B+,167.9,76.3,"5' 11""",181,24348803-e2fe-4c4a-aaa9-d512df5182e0,35.087603,-85.417507
18,male,American,Mr.,David,T,Rosas,"4851 John Daniel Drive","Jefferson City",MO,Missouri,65101,US,"United States",DavidTRosas@einrot.com,Evout1941,uQu7uxai8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",573-634-0329,1,Berta,1/28/1941,79,Aquarius,Visa,4716963115167575,725,5/2021,486-13-4520,"1Z 335 10E 03 9833 779 9",9923646827,42010288,Blue,"Sawing machine operator",LaBelle's,"2003 Alpina Roadster",visualmindtgtn.com,B+,141.0,64.1,"6' 0""",184,9cd95fd6-5edc-4d95-8ad9-629152fc60c3,38.535795,-92.097586
19,male,American,Mr.,William,M,Copeland,"3563 Formula Lane",Dallas,TX,Texas,75240,US,"United States",WilliamMCopeland@armyspy.com,Thaves,pie7Baiwe,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 YaBrowser/19.4.0.2397 Yowser/2.5 Safari/537.36",469-561-3461,1,Davis,8/17/1992,28,Leo,MasterCard,5522678531753714,101,1/2025,461-39-4636,"1Z 057 789 22 4541 278 7",2847264119,08225276,Blue,"Industrial machinery mechanic","P. Samuels Men's Clothiers","2001 Honda Odyssey",picturethiscoin.com,B+,165.7,75.3,"5' 8""",172,3c13b9cd-053f-4301-8f19-cd9a719d570c,33.026405,-96.706727
20,female,American,Ms.,Dolores,R,Henderson,"1754 Rocket Drive",Minneapolis,MN,Minnesota,55410,US,"United States",DoloresRHenderson@cuvox.de,Enisho,Thohtei2s,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",612-920-1714,1,Carver,12/15/1981,38,Sagittarius,MasterCard,5298915900300020,585,5/2021,474-56-9099,"1Z V79 0E0 31 0852 986 2",6500589545,15312899,Green,"Leasing consultant","Strength Gurus","1999 Dodge Prowler",mnjutfc.com,B+,161.7,73.5,"5' 6""",167,c0c32557-55d6-406b-b963-697e70fa343d,44.889958,-93.366587
21,female,American,Mrs.,Lillian,D,Carrico,"2237 Cost Avenue",Savage,MD,Maryland,20763,US,"United States",LillianDCarrico@armyspy.com,Donen1945,vooquaiNg2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36 OPR/58.0.3135.132",301-406-1886,1,Burcham,11/27/1945,74,Sagittarius,MasterCard,5512077320159427,518,3/2022,213-41-8208,"1Z 582 91Y 51 8116 510 9",5910260235,21770525,Blue,"Occupational social worker","Life Map Planners","2010 Citroen Berlingo",betonrs.com,B+,109.3,49.7,"5' 5""",165,6988b4f3-c21a-4f02-8de9-c27da56faa81,39.092496,-76.747886
22,male,American,Mr.,Nicholas,M,Weston,"111 Coffman Alley",Benton,KY,Kentucky,42025,US,"United States",NicholasMWeston@cuvox.de,Opecticess,caiCh5soh,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",270-703-1108,1,Nichol,11/23/1968,51,Sagittarius,MasterCard,5502171107128523,338,1/2021,405-20-2174,"1Z 08W 615 19 8832 790 9",3080585165,67971077,Blue,"Financial planner","Montana's Cookhouse","2005 GMC Jimmy",thehumorpics.com,B+,176.4,80.2,"6' 0""",182,c0b63856-576e-4398-a1d0-81754ec9e463,36.877751,-88.285204
23,female,American,Ms.,Lana,S,Baggett,"3203 Buckhannan Avenue",Syracuse,NY,"New York",13202,US,"United States",LanaSBaggett@einrot.com,Cocia1972,uc8OomeY,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",315-474-3122,1,Goldsmith,7/24/1972,48,Leo,MasterCard,5401372832547456,380,7/2022,062-01-5092,"1Z 481 036 63 6121 004 0",2727860446,18187639,Brown,"Labor trainer","Dee's Drive-In","2012 Tata Indigo",redlinehvac.com,O+,180.8,82.2,"5' 4""",162,a1ac0c81-88b2-4187-9514-3245189a8fca,43.104839,-76.12152
24,male,American,Mr.,Raymond,J,Sweet,"4827 Payne Street",Martinsville,VA,Virginia,24112,US,"United States",RaymondJSweet@cuvox.de,Kiles1969,paiShie2ee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",276-790-0938,1,Hazen,1/19/1969,51,Capricorn,Visa,4556882339855075,289,9/2024,698-01-6132,"1Z 006 122 10 2772 596 7",3363413849,45241274,Blue,"University dean","Tech Hifi","2004 Daihatsu Altis",cgglzzm.com,O+,147.0,66.8,"5' 6""",167,c638f3a6-8bdb-4000-9a9e-44ba348cc548,36.738848,-79.77476
25,male,American,Mr.,Glenn,M,Rodriguez,"3810 Burwell Heights Road","Port Arthur",TX,Texas,77640,US,"United States",GlennMRodriguez@fleckens.hu,Uned1947,it3uJaeph4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",409-736-9656,1,Sherlock,2/8/1947,73,Aquarius,Visa,4532469996519399,774,7/2023,640-68-8648,"1Z 46W 070 81 5958 139 5",4132000865,07205878,Blue,"Sales engineer","Gas Depot","2010 Pontiac Vibe",tekvale.com,O+,132.7,60.3,"5' 8""",173,cdb4594f-760e-4587-9ab4-5de258e8cf47,29.986572,-93.987419
26,female,American,Ms.,Margaret,F,Barnes,"1673 Goosetown Drive",Asheville,NC,"North Carolina",28806,US,"United States",MargaretFBarnes@jourrapide.com,Sucausuld,Cewoecho7Ie,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",828-761-4377,1,Harrell,2/13/1994,26,Aquarius,Visa,4539885916840826,775,12/2024,685-07-6850,"1Z F52 353 99 0117 614 7",6856813651,82198001,Blue,"Water transportation master","Mr Fables","1995 Mazda RX-01",jebisms.com,B+,213.8,97.2,"5' 7""",171,b5969c9f-6b11-499f-aa47-23146420ec4a,35.628726,-82.711718
27,male,American,Mr.,John,S,Micco,"4739 Pretty View Lane",Oakland,CA,California,94612,US,"United States",JohnSMicco@armyspy.com,Fichun,Ahb3deiwei,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",707-820-1237,1,McNeil,1/31/1940,80,Aquarius,MasterCard,5256131794007925,145,7/2025,569-96-9051,"1Z 8W6 132 06 8166 802 4",7264158396,85762081,Blue,"Housing relocator","Lindsley's Lumber","1995 Audi S6",keylimechat.com,A+,223.5,101.6,"5' 7""",171,7ce1e8b5-47ac-4c4d-949f-e84f6c0be36b,37.717107,-122.220105
28,female,American,Mrs.,Tina,T,Valletta,"1237 Masonic Hill Road","Little Rock",AR,Arkansas,72209,US,"United States",TinaTValletta@superrito.com,Squished,ohRoiZeth2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",501-568-8058,1,Boudreaux,4/29/1950,70,Taurus,Visa,4539709878916483,624,8/2025,677-03-5975,"1Z 106 E24 70 4055 307 4",8240125512,98589151,Blue,"Aeronautical drafter","Star Merchant Services","2006 Seat Leon",descargachrome.com,B+,190.7,86.7,"5' 3""",161,d50e9e37-2448-4dbc-a1b4-62249b945316,34.643107,-92.391566
29,male,American,Mr.,Albert,R,Arnold,"102 Ashcraft Court","Chula Vista",CA,California,92010,US,"United States",AlbertRArnold@teleworm.us,Wheive,ahD3aeP1U,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",619-407-6582,1,Ellis,9/4/1941,78,Virgo,Visa,4716572838855323,286,11/2023,547-73-2324,"1Z 9A8 W99 02 1571 472 3",8921920562,35944501,Blue,"Nursing aide","Monk Home Funding Services","2009 Lotus Exige",bitcoinopedia.com,B+,207.9,94.5,"5' 10""",177,2827b2f3-e4d4-4bc6-8326-f01c474d7345,32.655796,-116.994769
30,female,American,Mrs.,Carol,S,Matthews,"2470 Brooklyn Street",Waynesboro,VA,Virginia,22980,US,"United States",CarolSMatthews@einrot.com,Forway,oi7Thiez,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",540-941-9585,1,Troyer,2/25/1952,68,Pisces,Visa,4556442724499292,629,9/2023,223-50-0270,"1Z 306 745 38 1862 615 4",4869790433,83488089,Yellow,"Health educator","Twin Electronics","2011 Buick LaCrosse",vilatoni.com,A+,187.9,85.4,"5' 5""",165,ba5ad0be-9f2d-4931-8562-b10956ca429a,38.126394,-78.854757
31,female,American,Ms.,Florencia,K,King,"2079 Big Elm",Harrisonville,MO,Missouri,64701,US,"United States",FlorenciaKKing@einrot.com,Willonvild,poo3wo7Lai9e,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 YaBrowser/19.4.0.2397 Yowser/2.5 Safari/537.36",816-884-3975,1,Bell,10/18/2000,19,Libra,MasterCard,5314612138790441,807,11/2021,486-15-0241,"1Z 200 756 64 5543 413 8",5572828613,26195369,Red,"Cage cashier","Listen Up","2004 Ford Puma",wjjgwmh.com,B+,194.5,88.4,"5' 1""",154,b4e8b1a5-1e43-44a4-a243-64cb69ee3bca,38.616493,-94.255548
32,female,American,Mrs.,Aura,J,Joseph,"3172 Brooklyn Street",Fredericksburg,VA,Virginia,22401,US,"United States",AuraJJoseph@teleworm.us,Owelve,Kaek0inuupoh,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",540-905-9329,1,Santiago,9/15/1959,60,Virgo,MasterCard,5550512700817403,669,3/2025,230-38-5674,"1Z 404 661 39 3597 457 3",0525498485,11610200,Green,"Teller supervisor","Mr. D's IGA","2004 BMW 525",airxpeb.com,O+,213.8,97.2,"5' 1""",155,fe351e53-8ccc-41d0-956c-93f9f744ad0e,38.382057,-77.55057
33,female,American,Ms.,Mamie,D,Sexton,"1207 Fraggle Drive",Schaumburg,IL,Illinois,60173,US,"United States",MamieDSexton@jourrapide.com,Singat1938,fee3ahJomie,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",630-363-7155,1,Martinez,5/19/1938,82,Taurus,MasterCard,5465133249841020,872,4/2025,352-82-3436,"1Z 970 Y32 57 9828 128 6",2989888127,64581398,Brown,"Policy analyst","Cut Rite","2012 Mercedes-Benz ML",atlusedcars.com,B+,110.4,50.2,"5' 5""",165,14371972-e821-4381-94a1-f2d9d020f521,42.068729,-88.144549
34,female,American,Mrs.,Katrina,J,Williams,"302 Cherry Camp Road",Bridgeview,IL,Illinois,60455,US,"United States",KatrinaJWilliams@cuvox.de,Tharls,Ohyah6ieh8,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:66.0) Gecko/20100101 Firefox/66.0",773-459-2450,1,Hoy,3/20/1973,47,Pisces,Visa,4539987146816889,188,1/2022,335-01-4730,"1Z 123 585 73 8611 379 4",6137782378,24285984,Black,"Graduate teaching assistant","Cellophane Square","2002 Citroen C-Airdream",bbkzyl.com,O+,196.9,89.5,"5' 3""",159,a67cf087-37e9-4848-a6aa-18ac5ececa57,41.700088,-87.865985
35,female,American,Ms.,Jane,R,Fairchild,"4769 Cost Avenue",Damascus,MD,Maryland,20872,US,"United States",JaneRFairchild@superrito.com,Whangs,au1Ieza2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",301-414-9865,1,Coleman,8/10/1955,65,Leo,Visa,4916908199338814,982,10/2023,216-40-5515,"1Z 007 39E 45 8565 958 3",9757398638,16059834,Blue,"Combined food preparation and serving worker","Buena Vista Garden Maintenance","1998 Volvo V70",manfulasia.com,O+,166.3,75.6,"5' 0""",153,41d6ec4a-72da-4400-bf5b-4937b679dfb9,39.289863,-77.222373
36,female,American,Dr.,Edith,T,Pike,"1975 Lakeland Park Drive",Norcross,GA,Georgia,30091,US,"United States",EdithTPike@armyspy.com,Purmse,AhseiQu9g,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",770-617-5743,1,Vannoy,7/5/1961,59,Cancer,Visa,4485014487152446,668,6/2025,253-51-2674,"1Z 917 762 20 4156 537 6",8050744680,61295026,Blue,"Police officer","Desmonds Formal Wear","1992 Mitsubishi Minica",jordankmartin.com,A-,222.9,101.3,"5' 7""",170,62d13eb5-73c9-4d9e-a1af-6cbb9b7d08ee,33.905402,-84.141801
37,male,American,Mr.,Michal,M,Kendricks,"4717 Vine Street",Skokie,IL,Illinois,60077,US,"United States",MichalMKendricks@einrot.com,Ablion,Teibiech3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",847-677-0039,1,Homan,4/24/1991,29,Taurus,MasterCard,5585777289577111,373,5/2022,350-04-9409,"1Z 065 E62 46 0345 480 2",9824572851,19065259,Blue,"Power plant distributor","J. Brannam","2011 Chevrolet HHR",dreamsmodel.com,O+,239.4,108.8,"5' 9""",174,44c3c236-52c3-47a5-a3a8-26c443c54e63,42.124959,-87.667036
38,female,American,Ms.,Frances,J,Cummings,"725 Doctors Drive","Los Angeles",CA,California,90017,US,"United States",FrancesJCummings@dayrep.com,Theirried,eeshoh5Nao,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0",310-347-0604,1,Ortiz,12/28/1956,63,Capricorn,Visa,4539447504692109,863,7/2022,559-69-2079,"1Z W18 333 91 1004 116 2",0649139076,31457582,Black,"Forging machine setter","The White Swan","1998 Volkswagen Polo",favously.com,B+,133.1,60.5,"5' 7""",169,64aa97eb-eb39-4e09-8537-a46e46690a6b,34.01396,-118.218291
39,female,American,Mrs.,Shannon,F,Pursley,"4977 Black Stallion Road",Winchester,KY,Kentucky,40391,US,"United States",ShannonFPursley@dayrep.com,Witheat,cie7aiYie3H,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",859-585-6021,1,Smith,8/9/1943,77,Leo,MasterCard,5457008628861098,489,6/2021,400-41-4626,"1Z 703 676 83 6117 717 9",6509968001,77227997,Green,Manufacturers,"Geri's Hamburgers","1998 Buick Regal",romeshiathomas.com,O+,138.4,62.9,"5' 7""",170,fbfd5704-898a-491d-9640-683caf8ec718,38.040425,-84.070146
